id_procedimiento,procedimiento_numero,id_acta_apertura,fecha_creacion,cantidad_ofertas_confirmadas,id_oferta,id_proveedor,razon_social
10876,452-0001-LPU17,7594,2017-03-23T16:00:00,4,19897,11439,
10876,452-0001-LPU17,7594,2017-03-23T16:00:00,4,19898,11440,
10876,452-0001-LPU17,7594,2017-03-23T16:00:00,4,19891,11441,
10876,452-0001-LPU17,7594,2017-03-23T16:00:00,4,19894,11450,
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19895,11454,romina paola ucci
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19896,11455,SIAT S.A.
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19900,11462,CASELLA S.A.
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19902,11449,
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19903,11452,Usuario Prueba
10877,452-0003-LPU17,7595,2017-04-06T16:00:00,6,19904,11447,
10878,81-0011-LPU17,7611,2017-12-01T11:00:00,2,19956,11665,KAVOS S.A.
10878,81-0011-LPU17,7611,2017-12-01T11:00:00,2,19957,11626,CRIBA S.A.
10883,81-0017-LPU17,7612,2017-12-05T11:00:00,2,19928,11627,INSA S.A.
10883,81-0017-LPU17,7612,2017-12-05T11:00:00,2,19930,11483,DRAGADOS Y OBRAS PORTUARIAS S.A.
10884,82-0001-LPU17,7604,2017-11-07T14:00:00,1,19932,11533,PANEDILE ARGENTINA S.A.I.C.F e I.
10886,82-0002-LPU17,7605,2017-11-07T15:00:00,4,19933,11533,PANEDILE ARGENTINA S.A.I.C.F e I.
10886,82-0002-LPU17,7605,2017-11-07T15:00:00,4,19936,11537,CONSTRUCTORA SUDAMERICANA S.A.
10886,82-0002-LPU17,7605,2017-11-07T15:00:00,4,19938,11638,CONSTRUCTORA LANUSSE S.A.
10886,82-0002-LPU17,7605,2017-11-07T15:00:00,4,19925,11594,SADEC SA
10887,82-0004-LPU17,7606,2017-11-08T14:34:00,4,19926,11476,LUCAS JAVIER MONTEGROSSO
10887,82-0004-LPU17,7606,2017-11-08T14:34:00,4,19939,11537,CONSTRUCTORA SUDAMERICANA S.A.
10887,82-0004-LPU17,7606,2017-11-08T14:34:00,4,19941,11648,TRANSPORTADORA DE GAS DEL SUR S.A.-SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARROLLO ESTRATEGICO S.A.-UNION TRANSITORIA
10887,82-0004-LPU17,7606,2017-11-08T14:34:00,4,19934,11533,PANEDILE ARGENTINA S.A.I.C.F e I.
10888,452-0004-LPU17,7597,2017-06-23T12:01:00,7,19906,11511,CONINSA S.A.
10888,452-0004-LPU17,7601,2017-08-15T12:01:00,7,19906,11511,CONINSA S.A.
10888,452-0004-LPU17,7597,2017-06-23T12:01:00,7,19907,11510,Techint Compañia Tecnica Internacional S.A.C. e I.
10888,452-0004-LPU17,7601,2017-08-15T12:01:00,7,19907,11510,Techint Compañia Tecnica Internacional S.A.C. e I.
10888,452-0004-LPU17,7597,2017-06-23T12:01:00,7,19909,11509,SEMISA INFRAESTRUCTURA S.A.
10888,452-0004-LPU17,7601,2017-08-15T12:01:00,7,19909,11509,SEMISA INFRAESTRUCTURA S.A.
10888,452-0004-LPU17,7597,2017-06-23T12:01:00,7,19911,11444,
10888,452-0004-LPU17,7601,2017-08-15T12:01:00,7,19911,11444,
