contrato_numero,contrato_numero_gedo,procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,contrato_perfeccionamiento_fecha,contratista_cuit,contratista_razon_social,contratista_ute_si_no,contrato_monto,contrato_moneda,funcionario_contratante_nombre,funcionario_contratante_cargo
14-1002-CON21,,14-0007-LPU20,CONSTRUCCIÓN Y MONTAJE DE CUBIERTA METÁLICA PARA RECINTO DEL ACELERADOR DE IONES DEL CAC - GAIYANN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-23967059-   -APN-GASNYA#CNEA,14-0001-OBR21,CONSTRUCCIÓN Y MONTAJE DE CUBIERTA METæLICA PARA RECINTO DEL ACELERADOR DE IONES DEL CAC - GAIYANN,2021-04-07T00:00:00,30-70043585-3,Warlet S.A,NO,8694426.61,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1009-CON21,,14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-121823182-   -APN-GAEN#CNEA,14-0005-OBR21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO No42 - GAIYANN,2021-12-17T00:00:00,30-70797748-1,Estudio Ing Villa SRL,NO,22527774.25,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1008-CON21,,14-0009-LPU20,CONSTRUCCIÓN DEPOSITO PARA EDIFICIO Nº 51 DEL C.A.C. - GCCN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-82343035-   -APN-GAEN#CNEA,14-0003-OBR21,CONSTRUCCIÓN DEPOSITO PARA EDIFICIO No 51 DEL C.A.C. - GCCN,2021-09-03T00:00:00,30-71527370-1,Masa Desarrollos SRL,NO,2798980.54,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1004-CON21,,14-0012-LPU20,CONSTRUCCIÓN DE DOS RESERVORIOS DEL DIQUE DN5 CON SISTEMAS DE DRENAJE Y BARRERAS DE SEGURIDAD - GPMP,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2020-40342323-   -APN-GAYF#CNEA,,,2021-06-04T00:00:00,30-70727194-5,MACHINES & TRUCKS ARGENTINA S.A.,NO,17899698.55,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0006-CON22,,14-0012-LPU20,CONSTRUCCIÓN DE DOS RESERVORIOS DEL DIQUE DN5 CON SISTEMAS DE DRENAJE Y BARRERAS DE SEGURIDAD - GPMP,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2020-40342323-   -APN-GAYF#CNEA,,,2022-07-19T00:00:00,30-70727194-5,MACHINES & TRUCKS ARGENTINA S.A.,NO,4606401.14,ARS,EVA REGINA ARROYO,-
14-1005-CON21,,14-0015-LPU20,OBRA AMPLIACION DE EDIFICIO DE PROPIEDADES MECANICAS Nº3  - GAIYANN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-63553823-   -APN-GASNYA#CNEA,14-0004-OBR21,OBRA AMPLIACION DE EDIFICIO DE PROPIEDADES MECANICAS No3  - GAIYANN,2021-09-23T00:00:00,30-70915815-1,COINAL S.A,NO,12720000.00,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1001-CON19,,14-0019-LPU18,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2019-73490347-   -APN-GAIYANN#CNEA,14-0001-OBR19,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",2019-07-17T00:00:00,30-71021041-8,PROYECTO A S.R.L.,NO,10048147.79,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0003-CON22,,14-0020-LPU21,CAMBIO DE CUBIERTA EN PABELLÓN 8 CAB - GAEN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-50505646-   -APN-GAATN#CNEA,14-0006-OBR22,CAMBIO DE CUBIERTA EN PABELLN 8 CAB - GAEN,2022-08-02T00:00:00,30-70768241-4,DINALE S.A.,NO,38846984.25,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1006-CON21,,14-0022-LPU20,PINTURA EPOXI DE LOS EDIFICIOS DEL PROYECTO RA-10,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-69277699-   -APN-GAEN#CNEA,14-0002-OBR21,PINTURA EPOXI DE LOS EDIFICIOS DEL PROYECTO RA-10,2021-08-03T00:00:00,30-61187485-1,CONSULPER S.A.,NO,349524556.76,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0002-CON22,,14-0026-LPU21,PAVIMENTO CALLES DE ACCESO A SECTOR RA-3 - PLAYA DE ESTACIONAMIENTO Y CALLES - CAE GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-27425282-   -APN-GAATN#CNEA,14-0001-OBR22,PAVIMENTO CALLES DE ACCESO A SECTOR RA-3 - PLAYA DE ESTACIONAMIENTO Y CALLES - CAE GAATN,2022-03-30T00:00:00,30-71419999-0,C y M Hudson S.A.,NO,66402144.97,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-1010-CON21,,14-0027-LPU21,PUESTA EN VALOR DEL LABORATORIO DE EMPAQUE DE LA PLANTA DE PRODUCCION DE RADIOISOTOPOS DEL CAE-GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2021-123273843-   -APN-GAEN#CNEA,14-0006-OBR21,PUESTA EN VALOR DEL LABORATORIO DE EMPAQUE DE LA PLANTA DE PRODUCCION DE RADIOISOTOPOS DEL CAE-GAATN,2021-12-20T00:00:00,30-70797748-1,Estudio Ing Villa SRL,NO,6375511.66,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0001-CON22,,14-0028-LPU21,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-27416790-   -APN-GAATN#CNEA,14-0002-OBR22,CONSTRUCCION DE UN NUEVO EDIFICIO PARA LA GUARDIA DEL RA3 - CAE GAATN,2022-04-01T00:00:00,30-70915815-1,COINAL S.A,NO,8796750.00,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0004-CON22,,14-0030-LPU21,CONSTRUCION REMODELACIÓN DE CUBIERTAS DE CUATRO (4) GALPONES DEL CENTRO ATÓMICO EZEIZA - GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-50515688-   -APN-GAATN#CNEA,14-0003-OBR22,CONSTRUCION REMODELACIÓN DE CUBIERTAS DE CUATRO (4) GALPONES DEL CENTRO ATMICO EZEIZA - GAATN,2022-05-27T00:00:00,30-71502444-2,Seo Construcciones s.r.l.,NO,18625325.85,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
14-0009-CON22,,14-0035-LPU21,CONSTRUCCION PLAYA DE ESTACIONAMIENTO PARA PLANTA DE TRATAMIENTO DE EFLUENTES QUÍMICOS - GAATN,14,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,EX-2022-81772273-   -APN-GCCAE#CNEA,,,,30-71045459-7,MR SERVICES SA,NO,4000431.02,ARS,PABLO ANIBAL RACIOPPI,Jefe de compras
