procedimiento_numero,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,numero_obra,nombre_obra,ues_nombre,plazo_ejecucion_obra,plazo_ejecucion_obra_tipo,latitud_1,longitud_1,latitud_2,longitud_2
81-0040-LPU17,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,9924,81-0009-OBR18,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,2026,18,4,-34.585722,-58.389361,,
74-0013-LPU18,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,9968,74-0011-OBR18,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,4369,550,2,-41.212333,-71.305491,,
279-0009-LPU18,279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,9981,279-0001-OBR19,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,1762,2,4,-34.789194,-58.526504,,
81-0021-LPU18,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,9983,81-0001-OBR19,Construcción de oficinas del Estado Nacional 1° etapa,2026,10,4,-34.555826,-58.509577,,
81-0021-LPU18,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,9982,81-0001-OBR19,Construcción de oficinas del Estado Nacional 1° etapa,2026,10,4,-34.555826,-58.509577,,
279-0010-LPU18,279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,9998,279-0002-OBR19,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,1762,3,4,-34.800327,-58.52327,,
451-0016-LPU18,451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,9996,451-0001-OBR19,METROBUS RUTA 8 - 2DA ETAPA,2030,5,1,-34.575689,-58.548221,-34.56234,-58.58586
279-0005-LPU18,279/0,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,10001,279-0003-OBR19,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",1762,,,,,,
451-0001-LPU19,451/0,451/000 - Dirección de Contrataciones,327,327 - Ministerio de Transporte,10014,451-0002-OBR19,METROBUS FLORENCIO VARELA,2030,,,,,,
39-0016-LPU18,39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,10040,39-0001-OBR19,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,3333,360,2,-27.2139,-55.5312,,
81-0037-LPU17,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,10051,81-0002-OBR19,SALADO IV - TRAMOS 3 Y 4,4249,36,4,-54.321327,-54.321327,,
81-0037-LPU17,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,10052,81-0003-OBR19,SALADO IV - TRAMOS 3 Y 4,4249,36,4,-54.321327,-54.321327,,
39-0030-LPU18,39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,10060,39-0002-OBR19,"AMPLIACION Y REMODELACION DE BAÑOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",3333,244,2,-34.051843,-59.012643,,
14-0019-LPU18,14/0,14 - Compras y Contrataciones - CNEA,105,105 - Comisión Nacional de Energía Atómica,10097,14-0001-OBR19,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",3058,200,1,-34.572725,-58.511821,,
39-0031-LPU18,39/0,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,10136,39-0003-OBR19,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITATÍ,3333,300,2,27.16,58.1456,,
81/9-0020-CDI19,81/9,81/9 - Recursos Hídricos,325,325 - Ministerio del Interior,10161,81/9-0004-OBR19,OPERACIÓN Y MANTENIMIENTO DEL SISTEMA NACIONAL DE RADARES METEOROLOGICOS - SINARAME,1888,36,4,-34.800861,-58.515583,,
46/1-0069-LPU19,46/1,46/01 - 19° Bahía Blanca - DNV,604,604 - Dirección Nacional de Vialidad,10236,46/1-0001-OBR20,"ALTEO Y RECONST. DE LA CALZADA RNNº 3-TRAMO CNEL. DORREGO-EMP. RNNº 249 KM 607,56-KM 608,63",1877,3,4,-38.794689,-61.414091,,
46/17-0036-LPU19,46/17,46/17 - 17° Entre Rios - DNV,604,604 - Dirección Nacional de Vialidad,10255,46/17-0002-OBR20,RN 12 -BACHEO CON MEZCLA BITUMINOSA TIPO CONCRETO ASFÁLTICO EN CALIENTE.,1875,4,4,-32.385244,-59.787535,-32.039866,-60.268501
74-0020-LPU19,74/0,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,10284,74-0001-OBR20,Construcción de Galpón - Taller en el Parque Nacional Lihue Calel,4369,6,4,-38.003958,-65.594947,,
46-0004-LPU19,46/0,46/000 - Coordinación de Licitaciones y Contrataciones - DNV,604,604 - Dirección Nacional de Vialidad,10288,46-0003-OBR20,PROYECTO: RUTA NACIONAL N° 12.  ACCESO PARANÁ – SAN BENITO POR AUTOPISTA.  OBRA: VINCULACIÓN RUTA NACIONAL N° 12 CON AV. CIRCUNVALACIÓN DE PARANÁ.  RUTA NACIONAL N° 12.  TRAMO: PUENTE S/ A° SAUCESITO – AV. ALMAFUERTE.  PROVINCIA DE ENTRE RÍOS.  ,1875,24,4,-31.792261,-60.453945,-31.759076,-60.477751
46/8-0072-LPU19,46/8,46/08 - 8° La Rioja - DNV,604,604 - Dirección Nacional de Vialidad,10290,46/8-0004-OBR20,R.N. N° 79; TRAMO: OLTA – CHAMICAL EMP. RN38; BACHEO SUPERFICIAL,1866,2,4,30.6297222,66.2694444,30.3602777,66.305
