procedimiento_numero,procedimiento_nombre,numero_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,oferente_cuit,oferente_razon_social,oferente_ute_si_no,alternativa_numero,oferta_monto,presupuesto_oficial_renglon_monto,evaluada_si_no,desestimada_si_no,orden_merito
14-0007-LPU20,CONSTRUCCIÓN Y MONTAJE DE CUBIERTA METÁLICA PARA RECINTO DEL ACELERADOR DE IONES DEL CAC - GAIYANN,14-0001-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10397,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,30-70043585-3,Warlet S.A,No,225960,8694426.61,5500000.00,Pendiente,Aceptada,1
14-0007-LPU20,CONSTRUCCIÓN Y MONTAJE DE CUBIERTA METÁLICA PARA RECINTO DEL ACELERADOR DE IONES DEL CAC - GAIYANN,14-0001-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10397,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,33-66162872-9,Instalectro S.A,No,225920,8222525.98,5500000.00,Pendiente,Aceptada,3
14-0007-LPU20,CONSTRUCCIÓN Y MONTAJE DE CUBIERTA METÁLICA PARA RECINTO DEL ACELERADOR DE IONES DEL CAC - GAIYANN,14-0001-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10397,4.2.1-7003.2,CONST. CIVIL PRIVADA; DESCRIPCION: TECHO METALICO,30-70915815-1,Estudio Ing Villa SRL,No,225970,10920544.79,5500000.00,Pendiente,Aceptada,2
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70915815-1,COINAL S.A,No,239280,3667900.00,25000000.00,Pendiente,Aceptada,4
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71502444-2,Seo Construcciones s.r.l.,No,239310,27552102.89,25000000.00,Pendiente,Aceptada,5
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70935250-0,HERLEA CONSTRUCCIONES SRL,No,239270,27022941.99,25000000.00,Pendiente,Aceptada,3
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-69933981-0,ALGIERI S.A.,No,239310,27552102.84,25000000.00,Pendiente,Aceptada,5
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70704199-0,INDUSTRIAS MAS S.R.L.,No,239240,23950014.56,25000000.00,Pendiente,Aceptada,2
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,14,14 - Compras y Contrataciones - CNEA,105,14 - Compras y Contrataciones - CNEA,10628,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-70797748-1,Estudio Ing Villa SRL,No,238690,22527774.25,25000000.00,Pendiente,Aceptada,1
14-0008-LPU21,REFACCIÓN Y REACONDICIONAMIENTO SOTANO DEL EDIFICIO N°42 - GAIYANN,14-0005-OBR21,15,14 - Compras y Contrataciones - CNEA,106,14 - Compras y Contrataciones - CNEA,10629,4.2.1-7003.12,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,30-71178084-6,ESTILO QUARZO SRL,No,238840,20148436.83,25000000.00,Pendiente,Aceptada,7
