procedimiento_numero,procedimiento_nombre,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,procedimiento_estado,procedimiento_objeto,procedimiento_tipo,solicitud_de_contratacion_numero,financiamiento_fuente_prev,sistema_contratacion,presupuesto_oficial_monto,pliego_condiciones_generales_numero_gedo,pliego_condiciones_particulares_numero_gedo,publicacion_contratar_fecha,publicacion_bora_fecha,publicacion_cantidad_dias,consultas_inicio_fecha,consultas_fin_fecha
452-0001-LPU17,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10876,Adjudicado,Adquisición cañerías para proyecto AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL,Licitación Pública,452-6-SCO17,1.5,Ajuste Alzado; Unidad de medida;,596322129.52,PLIEG-2017-1484136-APN-DCC#MEM,PLIEG-2017-1589716-APN-DCC#MEM,2017-02-08 8:01:01,2017-02-08 8:00:00,15,2017-02-08 10:00:00,2017-03-08 23:59:00
452-0003-LPU17,Adquisición de motocompresores,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10877,Adjudicado,Adquisición de motocompresores para el Proyecto:  “AMPLIACIÓN SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS NATURAL”,Licitación Pública,452-8-SCO17,1.5,Unidad de medida;,160000000.0,PLIEG-2017-1484136-APN-DCC#MEM,PLIEG-2017-1714986-APN-DCC#MEM,2017-02-17 8:01:00,2017-02-17 8:00:00,15,2017-02-17 9:00:00,2017-03-21 20:00:00
452-0004-LPU17,Contratación y ejecución del montaje de cañerías,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10888,Adjudicado,Contratación y ejecución del montaje de cañerías para la construcción del  Proyecto denominado “AMPLIACIÓN SISTEMA DE TRANSPORTE Y  DISTRIBUCIÓN DE GAS NATURAL” bajo el régimen de la Ley de Obras  Públicas N° 13.064,Licitación Pública,452-18-SCO17,1.5,Ajuste Alzado;,2573871285.21,PLIEG-2017-6935464-APN-SSIE#MEM,PLIEG-2017-7544358-APN-SSIE#MEM,2017-05-03 8:01:00,2017-06-16 9:00:00,2,2017-05-03 9:00:00,2017-06-02 18:00:00
452-0005-LPU17,Contratación y ejecución del Montaje de Plantas Compresoras.,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10892,Dejado Sin Efecto,Contratación y ejecución del Montaje de Plantas Compresoras.,Licitación Pública,452-24-SCO17,1.5,Ajuste Alzado;,282848072.0,PLIEG-2017-8363693-APN-SSIE#MEM,PLIEG-2017-9191117-APN-DGAF#MEM,2017-06-12 10:01:01,2017-06-12 10:00:00,15,2017-06-12 12:00:00,2017-07-10 18:00:00
82-0001-LPU17,Construcción de Jardines de Infantes Zona Patagonia Sur,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10884,Fracasado,"Construcción de Jardines de Infantes Zona Patagonia Sur, con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su competo cumplimiento",Licitación Pública,82-11-SCO17,1.1,Ajuste Alzado;,108270984.65,PLIEG-2017-3659531-APN-DGAYGF#ME,PLIEG-2017-9311183-APN-DGAYGF#ME,2017-07-05 9:01:00,2017-07-05 9:00:00,15,2017-07-05 10:00:00,2017-10-24 18:00:00
82-0002-LPU17,Construcción de Jardines Zona Centro Sur,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10886,Adjudicado,"82-0002-LPU17: “Construcción de Jardines de Infantes (ZONA CENTRO SUR) con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su completo cumplimiento”",Licitación Pública,82-14-SCO17,1.1,Ajuste Alzado;,198513352.02,,PLIEG-2017-9311217-APN-DGAYGF#ME,2017-07-05 9:01:01,2017-07-05 9:00:00,15,2017-07-07 10:00:00,2017-10-24 18:00:00
82-0004-LPU17,CONSTRUCCION DE JARDINES DE INFANTES ZONA CENTRO NORTE,82/0,82/000 - Dirección General de Administración y Gestión Financiera - ME,330,330 - Ministerio de Educación,EE-10887,Con Documento Contractual,"82-0004-LPU17: Construcción de Jardines de Infantes (ZONA CENTRO NORTE) con la provisión de materiales, maquinarias, mobiliarios y mano de obra necesarios para su completo cumplimiento",Licitación Pública,82-13-SCO17,1.1,Ajuste Alzado;,218363922.48,PLIEG-2017-3659531-APN-DGAYGF#ME,PLIEG-2017-9311197-APN-DGAYGF#ME,2017-07-06 9:01:00,2017-07-06 9:00:00,15,2017-07-06 10:00:00,2017-10-24 18:00:00
81-0013-LPU17,HOSPITAL DR. ALEJANDRO POSADAS - HAEDO - PARTIDO DE MORÓN - PROVINCIA DE BUENOS AIRES,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10879,Desierto,HOSPITAL DR. ALEJANDRO POSADAS - HAEDO - PARTIDO DE MORÓN - PROVINCIA DE BUENOS AIRES,Licitación Pública,81-38-SCO17,,Ajuste Alzado;,167414965.5,PLIEG-2017-11087642-APN-DNA#MI,PLIEG-2017-11087820-APN-DNA#MI,2017-07-18 9:01:01,2017-07-19 9:00:00,15,2017-07-19 10:00:00,2017-08-18 12:00:00
81-0035-LPU17,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10897,Adjudicado,Obra CANALES “MONES CAZÓN” y “DERIVACIÓN REPUBLICA DE ITALIA – MONES CAZÓN Provincia de BUENOS AIRES,Licitación Pública,81-133-SCO17,,Ajuste Alzado; Unidad de medida;,1452761728.31,PLIEG-2017-19504537-APN-SSRH#MI,PLIEG-2017-19504521-APN-SSRH#MI,2017-09-14 9:01:00,2017-09-14 9:00:00,15,2017-09-14 9:30:00,2017-11-30 13:00:00
452-0007-LPU17,Inspección de Obra y Control de Calidad de Suministros.,452/0,452/000 - Dirección General de Administración y Finanzas - MEM,328,328 - Secretaría de Energía,EE-10898,Adjudicado,Inspección de Obra y Control de Calidad de Suministros para el proyecto: “AMPLIACIÓN DEL SISTEMA DE TRANSPORTE Y DISTRIBUCIÓN DE GAS  NATURAL”.,Licitación Pública,452-39-SCO17,1.5,Ajuste Alzado;,91290149.15,PLIEG-2017-14083018-APN-SSIE#MEM,PLIEG-2017-20028441-APN-SSIE#MEM,2017-09-29 8:01:00,2017-09-29 8:00:00,15,2017-09-29 9:00:00,2017-10-26 18:00:00
81-0037-LPU17,SALADO IV - TRAMOS 3 Y 4,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10903,Adjudicado,"La presente licitación se enmarca en el Plan Maestro Integral de la Cuenca del Río Salado, cuyo objetivo es el de superar los factores limitantes de la producción y el desarrollo de la región en particular reducir los impactos negativos que representan las inundaciones y es la continuación de otros tramos ya ejecutados entre la desembocadura y el Puente de la Ruta Nacional 205 (Progresivas 346.400).",Licitación Pública,81-151-SCO17,,Ajuste Alzado; Unidad de medida;,8241725525.33,PLIEG-2017-21885673-APN-DPH#MI,PLIEG-2017-21887153-APN-DPH#MI,2017-09-29 9:01:00,2017-09-29 9:00:00,15,2017-09-29 9:30:00,2018-03-26 13:00:00
81-0017-LPU17,"RESTAURACIÓN Y PUESTA EN VALOR EDIFICIO DE CORREOS DE SANTA FE""""",81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10883,Fracasado,"RESTAURACIÓN Y PUESTA EN VALOR EDIFICIO DE CORREOS DE SANTA FE""""",Licitación Pública,81-153-SCO17,1.1,Ajuste Alzado;,54398920.51,PLIEG-2017-15246533-APN-DNA#MI,PLIEG-2017-15526113-APN-DNA#MI,2017-10-04 0:01:00,2017-10-04 0:00:00,15,2017-10-04 1:00:00,2017-11-21 23:59:00
81-0040-LPU17,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,81/0,81/100 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,325,325 - Ministerio del Interior,EE-10904,Adjudicado,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,Licitación Pública,81-36-SCO17,1.1,Ajuste Alzado;,140269650.56,PLIEG-2017-17481795-APN-DNA#MI,PLIEG-2017-18591485-APN-DNA#MI,2017-10-04 0:01:01,2017-10-04 0:00:00,15,2017-10-04 1:00:00,2017-11-03 23:00:00
