numero_obra,nombre_obra,uoc_codigo,uoc_descripcion,organismo_codigo_saf,organismo_nombre,expediente_procedimiento_numero,renglon_numero,renglon_descripcion,provincia_id,provincia_nombre,departamento_id,departamento_nombre,localidad_id,localidad_nombre
81-0009-OBR18,PALACIO NACIONAL DE LAS ARTES - PALAIS DE GLACE,81/000,81/000 - Dirección General del Servicio Administrativo Financiero - MIOPyV,325,325 - Ministerio del Interior,9891,4.2.1-7003.11,CONST. CIVIL PRIVADA; DESCRIPCION: REMODELACION DE EDIFICIO,152,CIUDAD DE BUENOS AIRES,94196,CIUDAD DE BUENOS AIRES,8585,CIUDAD DE BUENOS AIRES
74-0011-OBR18,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,74/00,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES,107,107 - Administración de Parques Nacionales,9953,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,163,RIO NEGRO,94131,BARILOCHE,13884,SAN CARLOS DE BARILOCHE
279-0001-OBR19,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,9981,4.2.1-7003.45,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE AULA,148,BUENOS AIRES,94254,EZEIZA,4864,JOSE MARIA EZEIZA
81-0001-OBR19,Construcción de oficinas del Estado Nacional 1° etapa,81/000,81/000 - Dirección General del Servicio Administrativo Financiero - MIOPyV,325,325 - Ministerio del Interior,9982,4.2.1-7003.12,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE EDIFICIO,148,BUENOS AIRES,94594,VICENTE LOPEZ,5470,VILLA MARTELLI
81-0001-OBR19,Construcción de oficinas del Estado Nacional 1° etapa,81/000,81/000 - Dirección General del Servicio Administrativo Financiero - MIOPyV,325,325 - Ministerio del Interior,9983,4.2.1-7003.12,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE EDIFICIO,148,BUENOS AIRES,94594,VICENTE LOPEZ,5470,VILLA MARTELLI
279-0002-OBR19,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,9998,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,148,BUENOS AIRES,94254,EZEIZA,4861,AEROPUERTO INTERNACIONAL EZEIZA
451-0001-OBR19,METROBUS RUTA 8 - 2DA ETAPA,451/000,451/000 - Dirección de Contratación de Bienes y Servicios - MTR,327,327 - Ministerio de Transporte,9996,4.2.2-6986.4,CONSTRUCCION DE CALLES; DESCRIPCION: SIN VALOR,148,BUENOS AIRES,94303,GENERAL SAN MARTIN,6471,VILLA BALLESTER
279-0003-OBR19,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",279/000,279/000 - Departamento de Compras - PSA,382,382 - Policia de Seguridad Aeroportuaria,10001,4.2.1-7003.58,CONST. CIVIL PRIVADA; DESCRIPCION: OBRA CIVIL,148,BUENOS AIRES,94254,EZEIZA,4861,AEROPUERTO INTERNACIONAL EZEIZA
451-0002-OBR19,METROBUS FLORENCIO VARELA,451/000,451/000 - Dirección de Contratación de Bienes y Servicios - MTR,327,327 - Ministerio de Transporte,10014,4.2.2-6986.4,CONSTRUCCION DE CALLES; DESCRIPCION: SIN VALOR,148,BUENOS AIRES,94261,FLORENCIO VARELA,4869,FLORENCIO VARELA
39-0001-OBR19,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,39,39 - Dirección General de Administración- PNA,380,380 - Prefectura Naval Argentina,10040,4.2.1-7003.12,CONST. CIVIL PRIVADA; DESCRIPCION: CONSTRUCCION DE EDIFICIO,161,MISIONES,94168,CAPITAL,13406,POSADAS
