fecha,tipo_cambio_sbs_venta
2000-01-03,3.516
2000-01-04,3.527
2000-01-05,3.52
2000-01-06,3.508
2000-01-07,3.513
2000-01-10,3.511
2000-01-11,3.508
2000-01-12,3.509
2000-01-13,3.507
2000-01-14,3.494
2000-01-17,3.487
2000-01-18,3.492
2000-01-19,3.498
2000-01-20,3.505
2000-01-21,3.5
2000-01-24,3.497
2000-01-25,3.493
2000-01-26,3.495
2000-01-27,3.481
2000-01-28,3.48
2000-01-31,3.492
2000-02-01,3.472
2000-02-02,3.474
2000-02-03,3.472
2000-02-04,3.479
2000-02-07,3.475
2000-02-08,3.463
2000-02-09,3.451
2000-02-10,3.445
2000-02-11,3.447
2000-02-14,3.439
2000-02-15,3.431
2000-02-16,3.443
2000-02-17,3.437
2000-02-18,3.445
2000-02-21,3.46
2000-02-22,3.465
2000-02-23,3.46
2000-02-24,3.469
2000-02-25,3.47
2000-02-28,3.462
2000-02-29,3.453
2000-03-01,3.421
2000-03-02,3.413
2000-03-03,3.406
2000-03-06,3.413
2000-03-07,3.413
2000-03-08,3.402
2000-03-09,3.404
2000-03-10,3.42
2000-03-13,3.425
2000-03-14,3.418
2000-03-15,3.422
2000-03-16,3.436
2000-03-17,3.435
2000-03-20,3.448
2000-03-21,3.454
2000-03-22,3.469
2000-03-23,3.49
2000-03-24,3.504
2000-03-27,3.508
2000-03-28,3.477
2000-03-29,3.478
2000-03-30,3.489
2000-03-31,3.488
2000-04-03,3.476
2000-04-04,3.478
2000-04-05,3.478
2000-04-06,3.49
2000-04-07,3.512
2000-04-10,3.485
2000-04-11,3.491
2000-04-12,3.484
2000-04-13,3.463
2000-04-14,3.47
2000-04-17,3.476
2000-04-18,3.475
2000-04-19,3.469
2000-04-24,3.48
2000-04-25,3.478
2000-04-26,3.487
2000-04-27,3.482
2000-04-28,3.479
2000-05-02,3.478
2000-05-03,3.488
2000-05-04,3.488
2000-05-05,3.492
2000-05-08,3.502
2000-05-09,3.507
2000-05-10,3.513
2000-05-11,3.503
2000-05-12,3.499
2000-05-15,3.503
2000-05-16,3.504
2000-05-17,3.503
2000-05-18,3.503
2000-05-19,3.512
2000-05-22,3.513
2000-05-23,3.518
2000-05-24,3.512
2000-05-25,3.513
2000-05-26,3.525
2000-05-29,3.512
2000-05-30,3.518
2000-05-31,3.507
2000-06-01,3.494
2000-06-02,3.49
2000-06-05,3.491
2000-06-06,3.49
2000-06-07,3.486
2000-06-08,3.488
2000-06-09,3.481
2000-06-12,3.482
2000-06-13,3.486
2000-06-14,3.482
2000-06-15,3.48
2000-06-16,3.48
2000-06-19,3.484
2000-06-20,3.487
2000-06-21,3.491
2000-06-22,3.493
2000-06-23,3.495
2000-06-26,3.499
2000-06-27,3.499
2000-06-28,3.493
2000-06-30,3.492
2000-07-03,3.485
2000-07-04,3.484
2000-07-05,3.487
2000-07-06,3.485
2000-07-07,3.484
2000-07-10,3.484
2000-07-11,3.481
2000-07-12,3.481
2000-07-13,3.484
2000-07-14,3.483
2000-07-17,3.479
2000-07-18,3.48
2000-07-19,3.482
2000-07-20,3.482
2000-07-21,3.483
2000-07-24,3.483
2000-07-25,3.48
2000-07-26,3.477
2000-07-27,3.479
2000-07-31,3.476
2000-08-01,3.475
2000-08-02,3.481
2000-08-03,3.483
2000-08-04,3.486
2000-08-07,3.485
2000-08-08,3.48
2000-08-09,3.483
2000-08-10,3.483
2000-08-11,3.486
2000-08-14,3.486
2000-08-15,3.479
2000-08-16,3.478
2000-08-17,3.472
2000-08-18,3.471
2000-08-21,3.478
2000-08-22,3.476
2000-08-23,3.476
2000-08-24,3.478
2000-08-25,3.477
2000-08-28,3.476
2000-08-29,3.476
2000-08-31,3.474
2000-09-01,3.472
2000-09-04,3.473
2000-09-05,3.475
2000-09-06,3.472
2000-09-07,3.473
2000-09-08,3.475
2000-09-11,3.475
2000-09-12,3.474
2000-09-13,3.473
2000-09-14,3.472
2000-09-15,3.474
2000-09-18,3.5
2000-09-19,3.499
2000-09-20,3.513
2000-09-21,3.491
2000-09-22,3.492
2000-09-25,3.489
2000-09-26,3.492
2000-09-27,3.498
2000-09-28,3.519
2000-09-29,3.51
2000-10-02,3.495
2000-10-03,3.491
2000-10-04,3.497
2000-10-05,3.504
2000-10-06,3.503
2000-10-09,3.501
2000-10-10,3.5
2000-10-11,3.502
2000-10-12,3.496
2000-10-13,3.492
2000-10-16,3.488
2000-10-17,3.493
2000-10-18,3.498
2000-10-19,3.493
2000-10-20,3.495
2000-10-23,3.509
2000-10-24,3.51
2000-10-25,3.51
2000-10-26,3.51
2000-10-27,3.515
2000-10-30,3.522
2000-10-31,3.515
2000-11-02,3.506
2000-11-03,3.507
2000-11-06,3.516
2000-11-07,3.524
2000-11-08,3.526
2000-11-09,3.537
2000-11-10,3.528
2000-11-13,3.536
2000-11-14,3.535
2000-11-15,3.529
2000-11-16,3.532
2000-11-17,3.536
2000-11-20,3.548
