"ANO_EJE","MES_EJE","NIVEL_GOBIERNO","NIVEL_GOBIERNO_NOMBRE","SECTOR","SECTOR_NOMBRE","PLIEGO","PLIEGO_NOMBRE","SEC_EJEC","EJECUTORA","EJECUTORA_NOMBRE","DEPARTAMENTO_EJECUTORA","DEPARTAMENTO_EJECUTORA_NOMBRE","PROVINCIA_EJECUTORA","PROVINCIA_EJECUTORA_NOMBRE","DISTRITO_EJECUTORA","DISTRITO_EJECUTORA_NOMBRE","SEC_FUNC","PROGRAMA_PPTO","PROGRAMA_PPTO_NOMBRE","TIPO_ACT_PROY","TIPO_ACT_PROY_NOMBRE","PRODUCTO_PROYECTO","PRODUCTO_PROYECTO_NOMBRE","ACTIVIDAD_ACCION_OBRA","ACTIVIDAD_ACCION_OBRA_NOMBRE","FUNCION","FUNCION_NOMBRE","DIVISION_FUNCIONAL","DIVISION_FUNCIONAL_NOMBRE","GRUPO_FUNCIONAL","GRUPO_FUNCIONAL_NOMBRE","META","FINALIDAD","META_NOMBRE","DEPARTAMENTO_META","DEPARTAMENTO_META_NOMBRE","FUENTE_FINANCIAMIENTO","FUENTE_FINANCIAMIENTO_NOMBRE","RUBRO","RUBRO_NOMBRE","TIPO_RECURSO","TIPO_RECURSO_NOMBRE","CATEGORIA_GASTO","CATEGORIA_GASTO_NOMBRE","TIPO_TRANSACCION","GENERICA","GENERICA_NOMBRE","SUBGENERICA","SUBGENERICA_NOMBRE","SUBGENERICA_DET","SUBGENERICA_DET_NOMBRE","ESPECIFICA","ESPECIFICA_NOMBRE","ESPECIFICA_DET","ESPECIFICA_DET_NOMBRE","MONTO_PIA","MONTO_PIM","MONTO_CERTIFICADO","MONTO_COMPROMETIDO_ANUAL","MONTO_COMPROMETIDO","MONTO_DEVENGADO","MONTO_GIRADO"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","725","400","REGION AMAZONAS-SALUD","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","72","0024","PREVENCION Y CONTROL DEL CANCER","3","ACTIVIDAD","3000815","PERSONA CON CONSEJERIA PARA LA PREVENCION Y CONTROL DEL CANCER","5006000","CONSEJERIA PREVENTIVA EN FACTORES DE RIESGO PARA EL CANCER","20","SALUD","044","SALUD INDIVIDUAL","0096","ATENCION MEDICA BASICA","00001","0215073","CONSEJERIA PREVENTIVA EN FACTORES DE RIESGO PARA EL CANCER","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","1","PERSONAL Y OBLIGACIONES SOCIALES","1","RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO","3","PERSONAL DE LA SALUD","3","OTRAS RETRIBUCIONES Y COMPLEMENTOS","1","GUARDIAS HOSPITALARIAS","0","0","0","0","9544.43","0","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","998","402","REGION AMAZONAS-HOSPITAL DE APOYO CHACHAPOYAS","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","58","0024","PREVENCION Y CONTROL DEL CANCER","3","ACTIVIDAD","3000815","PERSONA CON CONSEJERIA PARA LA PREVENCION Y CONTROL DEL CANCER","5006001","CONSEJERIA PARA PACIENTES DIAGNOSTICADOS CON CANCER","20","SALUD","044","SALUD INDIVIDUAL","0096","ATENCION MEDICA BASICA","00001","0215074","CONSEJERIA PARA PACIENTES DIAGNOSTICADOS CON CANCER","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","7","SERVICIOS PROFESIONALES Y TECNICOS","11","OTROS SERVICIOS","5","SERVICIOS DE ALIMENTACION DE CONSUMO HUMANO","0","0","320","320","320","320","320"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","998","402","REGION AMAZONAS-HOSPITAL DE APOYO CHACHAPOYAS","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","58","0024","PREVENCION Y CONTROL DEL CANCER","3","ACTIVIDAD","3000815","PERSONA CON CONSEJERIA PARA LA PREVENCION Y CONTROL DEL CANCER","5006001","CONSEJERIA PARA PACIENTES DIAGNOSTICADOS CON CANCER","20","SALUD","044","SALUD INDIVIDUAL","0096","ATENCION MEDICA BASICA","00001","0215074","CONSEJERIA PARA PACIENTES DIAGNOSTICADOS CON CANCER","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","1","COMPRA DE BIENES","5","MATERIALES Y  UTILES","1","DE OFICINA","1","REPUESTOS Y ACCESORIOS","0","0","0","0","0","0","2429.72"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","998","402","REGION AMAZONAS-HOSPITAL DE APOYO CHACHAPOYAS","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","50","0024","PREVENCION Y CONTROL DEL CANCER","3","ACTIVIDAD","3000368","ATENCION DEL CANCER DE PROSTATA PARA EL DIAGNOSTICO, ESTADIAJE Y TRATAMIENTO","5006018","DIAGNOSTICO DEL CANCER DE PROSTATA","20","SALUD","044","SALUD INDIVIDUAL","0097","ATENCION MEDICA ESPECIALIZADA","00001","0215091","DIAGNOSTICO DEL CANCER DE PROSTATA","01","AMAZONAS","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","0","NORMAL","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","6","SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS","4","SERVICIOS DE SALUD","1","GASTOS POR PRESTACIONES DE SALUD","0","0","0","0","0","0","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","721","001","REGION AMAZONAS-SEDE CENTRAL","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","68","9001","ACCIONES CENTRALES","3","ACTIVIDAD","3999999","SIN PRODUCTO","5000003","GESTION ADMINISTRATIVA","17","AMBIENTE","006","GESTION","0008","ASESORAMIENTO Y APOYO","00001","0202505","MANTENIMIENTO Y OPERATIVIDAD DE LA GERENCIA DE LA AUTORIDAD REGIONAL AMBIENTAL","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","1","VIAJES","2","VIAJES DOMESTICOS","2","VIATICOS Y ASIGNACIONES POR COMISION DE SERVICIO","0","0","0","0","0","0","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","721","001","REGION AMAZONAS-SEDE CENTRAL","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","117","9002","ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS","3","ACTIVIDAD","3999999","SIN PRODUCTO","5001228","SUPERVISION Y CONTROL","03","PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA","006","GESTION","0007","DIRECCION Y SUPERVISION SUPERIOR","00001","0201739","FUNCIONAMIENTO DEL CONSEJO REGIONAL","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","1","PERSONAL Y OBLIGACIONES SOCIALES","1","RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO","13","CONTRATO ADMINISTRATIVO DE SERVICIOS","1","CONTRATO ADMINISTRATIVO DE SERVICIOS","1","CONTRATO ADMINISTRATIVO DE SERVICIOS - INDETERMINADO","0","0","0","0","11821.88","11821.88","11821.88"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","725","400","REGION AMAZONAS-SALUD","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","18","0002","SALUD MATERNO NEONATAL","3","ACTIVIDAD","3033412","FAMILIAS SALUDABLES INFORMADAS RESPECTO DE SU SALUD SEXUAL Y REPRODUCTIVA","5005984","PROMOCIÓN DE PRACTICAS SALUDABLES PARA EL CUIDADO DE LA SALUD SEXUAL Y REPRODUCTIVA EN FAMILIAS","20","SALUD","043","SALUD COLECTIVA","0095","CONTROL DE RIESGOS Y DAÑOS PARA LA SALUD","00001","0215060","PROMOCION DE PRACTICAS SALUDABLES PARA EL CUIDADO DE LA SALUD SEXUAL Y REPRODUCTIVA EN FAMILIAS","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","1","VIAJES","2","VIAJES DOMESTICOS","2","VIATICOS Y ASIGNACIONES POR COMISION DE SERVICIO","0","0","-1875.4","5309.6","5309.6","5309.6","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","725","400","REGION AMAZONAS-SALUD","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","18","0002","SALUD MATERNO NEONATAL","3","ACTIVIDAD","3033412","FAMILIAS SALUDABLES INFORMADAS RESPECTO DE SU SALUD SEXUAL Y REPRODUCTIVA","5005984","PROMOCIÓN DE PRACTICAS SALUDABLES PARA EL CUIDADO DE LA SALUD SEXUAL Y REPRODUCTIVA EN FAMILIAS","20","SALUD","043","SALUD COLECTIVA","0095","CONTROL DE RIESGOS Y DAÑOS PARA LA SALUD","00001","0215060","PROMOCION DE PRACTICAS SALUDABLES PARA EL CUIDADO DE LA SALUD SEXUAL Y REPRODUCTIVA EN FAMILIAS","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","3","ADQUISICION DE VEHICULOS, MAQUINARIAS Y OTROS","2","ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO","3","ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES","1","EQUIPOS COMPUTACIONALES Y PERIFERICOS","0","0","3500","3500","3500","0","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","721","001","REGION AMAZONAS-SEDE CENTRAL","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","8","0068","REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","3","ACTIVIDAD","3000734","CAPACIDAD INSTALADA PARA LA PREPARACION Y RESPUESTA FRENTE A EMERGENCIAS Y DESASTRES","5005612","DESARROLLO DE LOS CENTROS Y ESPACIOS DE MONITOREO DE EMERGENCIAS Y DESASTRES","05","ORDEN PUBLICO Y SEGURIDAD","016","GESTION DE RIESGOS Y EMERGENCIAS","0036","ATENCION INMEDIATA DE DESASTRES","00001","0160879","DESARROLLO DE LOS CENTROS Y ESPACIOS DE MONITOREO DE EMERGENCIAS Y DESASTRES","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","2","SERVICIOS BASICOS, COMUNICACIONES, PUBLICIDAD Y DIFUSION","1","SERVICIOS DE ENERGIA ELECTRICA, AGUA Y GAS","2","SERVICIO DE AGUA Y DESAGUE","0","0","0","0","265.9","0","0"
"2026","5","R","GOBIERNOS REGIONALES","99","GOBIERNOS REGIONALES","440","GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS","721","001","REGION AMAZONAS-SEDE CENTRAL","01","AMAZONAS","01","CHACHAPOYAS","01","CHACHAPOYAS","288","9001","ACCIONES CENTRALES","3","ACTIVIDAD","3999999","SIN PRODUCTO","5000004","ASESORAMIENTO TECNICO Y JURIDICO","03","PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA","006","GESTION","0008","ASESORAMIENTO Y APOYO","00001","0094980","SECRETARIA GENERAL","01","AMAZONAS","1","RECURSOS ORDINARIOS","00","RECURSOS ORDINARIOS","0","RECURSOS ORDINARIOS","5","GASTO CORRIENTE","2","3","BIENES Y SERVICIOS","2","CONTRATACION DE SERVICIOS","6","SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS","3","SEGUROS","3","SEGURO OBLIGATORIO ACCIDENTES DE TRANSITO (SOAT)","0","0","0","585","585","585","585"
